"State","alcoholConsumptionGallons"
"New Hampshire","4.7600"
"Delaware","3.7200"
"Nevada","3.4600"
"North Dakota","3.2600"
"Montana","3.1100"
"Vermont","3.0800"
"Wisconsin","2.9800"
"Alaska","2.9400"
"Idaho","2.9200"
"South Dakota","2.8700"
"Maine","2.8100"
"Colorado","2.8100"
"Minnesota","2.7700"
"Oregon","2.7500"
"Wyoming","2.6700"
"Florida","2.6500"
"Hawaii","2.6300"
"Louisiana","2.5900"
"Rhode Island","2.5700"
"Massachusetts","2.5700"
"Missouri","2.4900"
"Connecticut","2.4500"
"Iowa","2.4000"
"Pennsylvania","2.3600"
"Texas","2.3400"
"New Jersey","2.3400"
"Michigan","2.3400"
"California","2.3300"
"Illinois","2.3200"
"Arizona","2.3100"
"New Mexico","2.2700"
"Washington","2.2600"
"Nebraska","2.2300"
"Mississippi","2.2300"
"South Carolina","2.2200"
"New York","2.2200"
"Indiana","2.1700"
"Maryland","2.1500"
"Virginia","2.1400"
"Tennessee","2.1400"
"North Carolina","2.1300"
"Ohio","2.0400"
"Alabama","2.0100"
"Kentucky","1.9800"
"Georgia","1.9400"
"Kansas","1.9200"
"Oklahoma","1.8800"
"Arkansas","1.8000"
"West Virginia","1.7600"
"Utah","1.3400"